E = 6.61859	i = 0.98875
E = 6.28109	i = 0.99875
E = 5.92359	i = 1.00875
E = 5.54609	i = 1.01875
E = 5.14859	i = 1.02875
E = 4.73109	i = 1.03875
E = 4.29359	i = 1.04875
E = 3.83609	i = 1.05875
E = 3.35859	i = 1.06875
E = 2.86109	i = 1.07875
E = 2.34359	i = 1.08875
E = 1.80609	i = 1.09875
E = 1.24859	i = 1.10875
E = 0.671094	i = 1.11875
E = 0.0735937	i = 1.12875
E = -0.543906	i = 1.13875
E = -1.18141	i = 1.14875
