t	r
0	0.375
0	0.374105
0	0.372937
0	0.371338
0	0.368461
0	0.365578
0	0.362522
0	0.359247
0	0.354816
0	0.348868
0	0.342662
0	0.337424
0	0.332844
0	0.32708
0	0.320679
0	0.314702
0	0.308788
0	0.301525
0	0.294265
0	0.287141
0	0.278458
0	0.269355
0	0.260801
0	0.252985
0	0.246802
0	0.243897
0	0.24272
0	0.241712
0	0.239649
0	0.235909
0	0.233108
0	0.23096
0	0.229763
0	0.23083
0	0.232628
0	0.234925
0	0.238569
0	0.242266
0	0.244722
0	0.24818
0	0.254433
0	0.262022
0	0.271103
0	0.282571
0	0.295864
0	0.309266
0	0.323399
0	0.338933
0	0.355704
0	0.375377
0	0.395027
0	0.411659
0	0.425743
0	0.436296
0	0.443014
0	0.447325
0	0.451144
0	0.456322
0	0.46136
0	0.465196
0	0.468614
0	0.471616
0	0.474488
0	0.478394
0	0.48367
0	0.491517
0	0.501911
0	0.511532
0	0.518949
0	0.52473
0	0.528996
0	0.531589
0	0.533368
0	0.532727
0	0.529016
0	0.524359
0	0.519979
0	0.513925
0	0.50486
0	0.494736
0	0.48429
0	0.473707
0	0.463188
0	0.451206
0	0.439081
0	0.426975
0	0.414054
0	0.403095
0	0.393236
0	0.382568
0	0.370915
0	0.358871
0	0.345968
0	0.33226
0	0.318552
0	0.303772
0	0.288215
0	0.273018
0	0.260348
0	0.250765
0	0.242281
0	0.235201
0	0.229675
0	0.226095
0	0.224243
0	0.223255
0	0.222571
0	0.221702
0	0.222816
0	0.227168
0	0.232636
0	0.23879
0	0.245906
0	0.254065
0	0.263466
0	0.27335
0	0.284078
0	0.295078
0	0.30658
0	0.31987
0	0.333142
0	0.344928
0	0.357372
0	0.370172
0	0.382555
0	0.393186
0	0.401938
0	0.407833
0	0.409614
0	0.410901
0	0.41263
0	0.415643
0	0.420062
0	0.424397
0	0.427442
0	0.430456
0	0.434992
0	0.438898
0	0.443234
0	0.447562
0	0.450243
0	0.452407
0	0.450851
0	0.44664
0	0.442813
0	0.438891
0	0.434525
0	0.429087
0	0.42305
0	0.417092
0	0.409145
0	0.397518
0	0.384761
0	0.371112
0	0.359204
0	0.349772
0	0.340788
0	0.332675
0	0.325168
0	0.318803
0	0.312331
0	0.306724
0	0.303059
0	0.300899
0	0.299979
0	0.299028
0	0.298192
0	0.298746
0	0.300196
0	0.302334
0	0.307201
0	0.312879
0	0.317805
0	0.324214
0	0.333067
0	0.342503
0	0.351279
0	0.361401
0	0.371853
0	0.381312
0	0.388072
0	0.392536
0	0.397699
0	0.404362
0	0.411819
0	0.418104
0	0.423397
0	0.429313
0	0.436544
0	0.442401
0	0.445391
0	0.44685
0	0.447245
0	0.44607
0	0.442141
0	0.435207
0	0.425627
0	0.414889
0	0.403104
0	0.389779
0	0.376361
0	0.362902
0	0.350081
0	0.340282
0	0.333828
0	0.329322
0	0.325296
0	0.320691
0	0.315835
0	0.312263
0	0.31032
0	0.30921
0	0.309288
0	0.311275
0	0.314707
0	0.318011
0	0.320446
0	0.321624
0	0.321323
0	0.319883
0	0.317285
0	0.313964
0	0.310259
0	0.305439
0	0.298948
0	0.292626
0	0.288421
0	0.286199
0	0.284821
0	0.284046
0	0.285263
0	0.289554
0	0.296354
0	0.30551
0	0.317216
0	0.330092
0	0.342611
0	0.353642
0	0.360976
0	0.366738
0	0.374747
0	0.383877
0	0.391937
0	0.400185
0	0.410624
0	0.422157
0	0.433092
0	0.442645
0	0.450558
0	0.456996
0	0.463603
0	0.47066
0	0.477045
0	0.482311
0	0.486743
0	0.490538
0	0.492704
0	0.491849
0	0.487485
0	0.481745
0	0.476216
0	0.471299
0	0.466458
0	0.458072
0	0.448067
0	0.439855
0	0.432167
0	0.425253
0	0.418965
0	0.411337
0	0.40397
0	0.397665
0	0.39033
0	0.379689
0	0.367606
0	0.356936
0	0.347912
0	0.341307
0	0.335147
0	0.327697
0	0.320757
0	0.315552
0	0.311362
0	0.308893
0	0.308738
0	0.310228
0	0.311938
0	0.314029
0	0.317378
0	0.321332
0	0.323705
0	0.324219
0	0.326996
0	0.332066
0	0.337229
0	0.342928
0	0.349319
0	0.357504
0	0.366776
0	0.374294
0	0.379212
0	0.383153
0	0.387073
0	0.390086
0	0.390648
0	0.38827
0	0.384121
0	0.379133
0	0.372902
0	0.366003
0	0.358438
0	0.349777
0	0.340603
0	0.330658
0	0.321516
0	0.315022
0	0.308894
0	0.300111
0	0.289705
0	0.279811
0	0.271482
0	0.26543
0	0.261655
0	0.258582
0	0.256188
0	0.255131
0	0.255687
0	0.258585
0	0.263237
0	0.268471
0	0.274025
0	0.280815
0	0.289269
0	0.297791
0	0.306426
0	0.317033
0	0.329211
0	0.341289
0	0.352168
0	0.363212
