t	r
0	0.479008
0	0.485795
0	0.493464
0	0.500564
0	0.507016
0	0.513944
0	0.519534
0	0.523049
0	0.525912
0	0.527538
0	0.52667
0	0.52381
0	0.519659
0	0.514986
0	0.511644
0	0.506914
0	0.499297
0	0.490583
0	0.478754
0	0.464718
0	0.45074
0	0.435923
0	0.419627
0	0.402411
0	0.385007
0	0.366549
0	0.348429
0	0.332158
0	0.318537
0	0.308555
0	0.298744
0	0.28782
0	0.276182
0	0.264366
0	0.253124
0	0.241595
0	0.230739
0	0.220726
0	0.211019
0	0.202965
0	0.198245
0	0.195328
0	0.194021
0	0.195767
0	0.200955
0	0.208963
0	0.218835
0	0.231105
0	0.246296
0	0.263882
0	0.281469
0	0.300475
0	0.323121
0	0.347636
0	0.373255
0	0.399667
0	0.425318
0	0.450753
0	0.475071
0	0.497295
0	0.518995
0	0.539827
0	0.559521
0	0.578506
0	0.595383
0	0.610813
0	0.624778
0	0.636753
0	0.646986
0	0.655223
0	0.661614
0	0.666179
0	0.668263
0	0.667162
0	0.664547
0	0.658955
0	0.649502
0	0.638953
0	0.628505
0	0.617166
0	0.604048
0	0.587941
0	0.568546
0	0.548813
0	0.528524
0	0.505859
0	0.483064
0	0.459911
0	0.435119
0	0.410366
0	0.386609
0	0.361994
0	0.335665
0	0.3096
0	0.284934
0	0.26353
0	0.244914
0	0.226355
0	0.209192
0	0.193486
0	0.177631
0	0.162348
0	0.151926
0	0.146331
0	0.141471
0	0.13783
0	0.138662
0	0.143756
0	0.151113
0	0.161078
0	0.171882
0	0.182145
0	0.191682
0	0.201783
0	0.214373
0	0.22798
0	0.242566
0	0.257975
0	0.274168
0	0.291154
0	0.306331
0	0.319672
0	0.332828
0	0.345485
0	0.357619
0	0.370502
0	0.382146
0	0.393421
0	0.406438
0	0.420086
0	0.434731
0	0.45005
0	0.464876
0	0.480209
0	0.496029
0	0.510463
0	0.525165
0	0.539385
0	0.549937
0	0.558218
0	0.564241
0	0.56724
0	0.566799
0	0.563403
0	0.557718
0	0.549324
0	0.539338
0	0.528168
0	0.515557
0	0.500392
0	0.483013
0	0.466755
0	0.451257
0	0.435783
0	0.420902
0	0.407656
0	0.396137
0	0.384553
0	0.37288
0	0.361372
0	0.349459
0	0.336885
0	0.32526
0	0.314859
0	0.305883
0	0.298063
0	0.290196
0	0.283269
0	0.280012
0	0.280037
0	0.281692
0	0.28516
0	0.290879
0	0.299139
0	0.307904
0	0.316569
0	0.325706
0	0.334597
0	0.341396
0	0.347487
0	0.353728
0	0.358495
0	0.362218
0	0.36579
0	0.370389
0	0.375793
0	0.381422
0	0.387175
0	0.393628
0	0.40024
0	0.407295
0	0.416399
0	0.425964
0	0.43418
0	0.44234
0	0.450217
0	0.457395
0	0.463255
0	0.466348
0	0.46875
0	0.471137
0	0.471252
0	0.468872
0	0.464335
0	0.457538
0	0.449648
0	0.441154
0	0.432239
0	0.423713
0	0.415705
0	0.40693
0	0.39808
0	0.390138
0	0.380586
0	0.369863
0	0.360001
0	0.350842
0	0.342241
0	0.333763
0	0.325755
0	0.319797
0	0.318503
0	0.319717
0	0.321536
0	0.325605
0	0.32991
0	0.335107
0	0.341802
0	0.348475
0	0.356694
0	0.366828
0	0.3775
0	0.389316
0	0.402513
0	0.415356
0	0.426413
0	0.435309
0	0.442824
0	0.452651
0	0.464811
0	0.476766
0	0.487201
0	0.495254
0	0.501206
0	0.506887
0	0.513121
0	0.517893
0	0.520772
0	0.523052
0	0.525744
0	0.527893
0	0.528783
0	0.527723
0	0.524448
0	0.519469
0	0.511507
0	0.501301
0	0.489495
0	0.477698
0	0.46669
0	0.456124
0	0.44668
0	0.436825
0	0.426142
0	0.414649
0	0.403868
0	0.394377
0	0.384544
0	0.37356
0	0.362027
0	0.350333
0	0.337754
0	0.324032
0	0.311
0	0.299844
0	0.288534
0	0.276276
0	0.264536
0	0.253085
0	0.241117
0	0.230619
0	0.222969
0	0.217349
0	0.21577
0	0.218199
0	0.221713
0	0.225704
0	0.231362
0	0.23802
0	0.245656
0	0.254475
0	0.264491
0	0.277197
0	0.290759
0	0.304272
0	0.317735
0	0.330239
0	0.342486
0	0.35414
0	0.363604
0	0.371845
0	0.378398
0	0.383972
0	0.390714
0	0.397932
0	0.404834
0	0.411755
0	0.418176
0	0.423949
0	0.428961
0	0.432827
0	0.43588
0	0.437324
0	0.437312
0	0.437559
0	0.439517
0	0.442962
0	0.447599
0	0.451247
0	0.453334
0	0.456609
0	0.460673
0	0.463964
0	0.466877
0	0.470243
0	0.473206
0	0.47623
0	0.479671
0	0.481921
0	0.483603
0	0.485594
0	0.48784
0	0.491219
0	0.495738
0	0.499803
0	0.503084
0	0.506243
0	0.510127
0	0.513347
0	0.516019
0	0.516989
0	0.515079
0	0.511711
0	0.506089
0	0.498409
0	0.489236
0	0.479334
0	0.469685
0	0.459187
0	0.447281
0	0.435456
0	0.423856
0	0.411992
0	0.400078
0	0.389959
0	0.381386
0	0.37462
0	0.369917
0	0.365308
0	0.361043
0	0.356927
0	0.352623
0	0.349205
0	0.346087
0	0.342234
0	0.339162
0	0.337062
0	0.334037
0	0.32982
0	0.325278
0	0.321163
0	0.317756
0	0.313472
0	0.30868
0	0.306159
0	0.305604
0	0.305873
0	0.307406
0	0.30745
0	0.30646
0	0.307631
0	0.310269
0	0.314159
0	0.320723
0	0.329361
0	0.339644
0	0.350907
0	0.362304
0	0.374268
0	0.386596
0	0.397292
0	0.405366
0	0.412489
0	0.419213
0	0.4262
0	0.433334
0	0.43934
0	0.444577
0	0.450907
0	0.458124
0	0.464028
0	0.468088
0	0.471032
0	0.473809
0	0.476761
0	0.478609
0	0.478569
0	0.476803
0	0.472315
0	0.464574
0	0.455633
0	0.446264
0	0.436264
0	0.42565
0	0.415358
0	0.405743
0	0.395814
0	0.385766
0	0.37568
0	0.365035
0	0.352331
0	0.340082
0	0.328855
0	0.315973
0	0.303365
0	0.293396
0	0.285444
0	0.277184
0	0.269087
0	0.263016
0	0.258445
0	0.255725
0	0.255822
0	0.257688
0	0.259692
0	0.262528
0	0.266134
0	0.268069
0	0.269365
0	0.272526
0	0.275732
0	0.278769
0	0.282274
0	0.285727
0	0.291506
0	0.29807
0	0.303156
0	0.306333
0	0.309046
0	0.311815
0	0.31433
0	0.31822
0	0.321812
0	0.324024
0	0.325642
0	0.326191
0	0.327694
0	0.332395
0	0.337249
0	0.341364
0	0.346923
0	0.352977
0	0.360333
0	0.370355
0	0.382171
0	0.394887
0	0.408244
0	0.421791
0	0.43331
0	0.442346
0	0.452855
0	0.46453
0	0.474907
0	0.48479
0	0.492403
0	0.497995
0	0.50281
0	0.505647
0	0.505434
0	0.502694
0	0.499807
0	0.495803
0	0.490099
0	0.484865
0	0.480009
0	0.474324
0	0.465556
0	0.455161
0	0.445247
0	0.434649
0	0.423229
0	0.411312
0	0.400301
0	0.39065
0	0.381895
0	0.372893
0	0.362437
0	0.350662
0	0.339168
0	0.328103
0	0.31688
0	0.306427
0	0.297282
0	0.290112
0	0.28382
0	0.278071
0	0.272772
0	0.26774
0	0.262041
0	0.257144
0	0.253535
0	0.250505
0	0.250009
0	0.250967
0	0.251788
0	0.252226
0	0.252877
0	0.253359
0	0.255179
0	0.258779
0	0.263777
0	0.270724
0	0.279874
0	0.291348
0	0.305203
0	0.319403
0	0.331897
0	0.343023
0	0.353571
0	0.364741
0	0.376394
0	0.387645
0	0.397654
0	0.40655
0	0.41286
0	0.417554
0	0.423114
0	0.428975
0	0.434081
0	0.438336
0	0.44196
0	0.443863
0	0.444603
0	0.444711
0	0.445252
0	0.447952
0	0.450352
0	0.452285
0	0.453817
0	0.453725
0	0.453063
0	0.450744
0	0.447386
0	0.444607
0	0.441897
0	0.437808
0	0.430747
0	0.423835
0	0.418702
0	0.413211
0	0.408003
0	0.403021
0	0.39836
0	0.394371
0	0.390409
0	0.386423
0	0.383259
0	0.380469
0	0.377813
0	0.375808
0	0.372212
0	0.366995
0	0.361442
0	0.355666
0	0.349348
0	0.342605
0	0.336176
0	0.331066
0	0.328165
0	0.326657
0	0.325324
0	0.323925
0	0.322657
0	0.324119
0	0.326959
0	0.330699
0	0.336836
0	0.342492
0	0.347761
0	0.351713
0	0.35473
0	0.359496
0	0.365962
0	0.373105
0	0.381043
0	0.38998
0	0.39873
0	0.406355
0	0.412729
0	0.41774
0	0.422428
0	0.427039
0	0.430909
0	0.434609
0	0.436763
0	0.436021
0	0.432975
0	0.428799
0	0.423167
0	0.417108
0	0.412628
0	0.408866
0	0.404946
0	0.401431
0	0.398151
0	0.395264
0	0.392545
0	0.388193
0	0.381046
0	0.371549
0	0.361931
0	0.352325
0	0.342688
0	0.334771
0	0.328524
0	0.323228
0	0.317843
0	0.312375
0	0.307821
0	0.306083
0	0.305351
0	0.30439
0	0.304791
0	0.303655
0	0.300109
0	0.296833
0	0.295296
0	0.294274
0	0.29345
0	0.294219
0	0.296943
0	0.300806
0	0.305731
0	0.310967
0	0.316962
0	0.324819
0	0.333477
0	0.341967
0	0.350433
0	0.360118
0	0.371372
0	0.383866
0	0.396233
0	0.408383
0	0.419848
0	0.429856
0	0.438858
0	0.446525
0	0.455906
0	0.466989
0	0.476445
0	0.485108
0	0.495377
0	0.507044
0	0.517479
0	0.525514
0	0.532885
0	0.541094
0	0.548191
0	0.554103
0	0.559971
0	0.565431
0	0.569726
0	0.571321
0	0.570675
0	0.568382
0	0.566598
0	0.565145
0	0.56161
0	0.555947
0	0.548138
0	0.537902
0	0.525357
0	0.511112
0	0.49438
0	0.47616
0	0.460018
0	0.446299
0	0.433197
0	0.418888
0	0.40374
0	0.39084
0	0.377428
0	0.362901
0	0.350838
0	0.341209
0	0.3327
0	0.322462
0	0.310885
0	0.301536
0	0.294487
0	0.289311
0	0.286597
0	0.28505
0	0.282454
0	0.279047
0	0.275979
0	0.274625
0	0.277424
0	0.284231
0	0.293437
0	0.30457
0	0.317901
0	0.331229
0	0.344675
0	0.359062
0	0.373308
0	0.387347
0	0.400577
0	0.414414
0	0.429295
0	0.444167
0	0.459738
0	0.474635
0	0.488925
0	0.503867
0	0.517216
0	0.529516
0	0.541626
0	0.551477
0	0.559032
0	0.566484
0	0.574108
0	0.579824
0	0.582805
0	0.583473
0	0.582346
0	0.579166
0	0.572605
0	0.563636
0	0.553487
0	0.542734
0	0.53136
0	0.519664
0	0.508138
0	0.495036
0	0.481244
0	0.467903
0	0.454578
0	0.43975
0	0.42425
0	0.409836
0	0.396008
0	0.381978
0	0.367043
0	0.350707
0	0.333145
0	0.3163
0	0.300948
0	0.286862
0	0.275589
0	0.266621
0	0.257904
0	0.249286
0	0.240952
0	0.235058
0	0.231254
0	0.22761
0	0.224532
0	0.222985
0	0.221905
0	0.220426
0	0.219702
0	0.217819
0	0.215449
0	0.215873
0	0.219105
0	0.223029
0	0.227769
0	0.234688
0	0.244081
0	0.255356
0	0.266407
0	0.279108
0	0.294423
0	0.310494
0	0.327411
0	0.343801
0	0.358963
0	0.373734
0	0.388657
0	0.403936
0	0.417312
0	0.428535
0	0.438365
0	0.445381
0	0.450062
0	0.456132
0	0.463768
0	0.468706
0	0.472232
0	0.475933
0	0.479565
0	0.483453
0	0.486147
0	0.487546
0	0.487996
0	0.486502
0	0.483427
0	0.47974
0	0.474815
0	0.468722
0	0.461577
0	0.453908
0	0.445516
0	0.436307
0	0.426676
0	0.419237
0	0.416146
0	0.417491
0	0.42181
0	0.426724
0	0.432584
0	0.437564
0	0.439401
0	0.440077
0	0.440695
0	0.440459
0	0.439418
0	0.436947
0	0.434155
0	0.431258
0	0.427037
0	0.422416
0	0.417478
0	0.411995
0	0.406902
0	0.404361
0	0.403492
0	0.401114
0	0.395266
0	0.386174
0	0.375262
0	0.364092
0	0.354491
0	0.346102
0	0.337651
0	0.327267
0	0.316882
0	0.30832
0	0.300573
0	0.294129
0	0.288825
0	0.283696
0	0.278977
0	0.275389
0	0.272022
0	0.26851
0	0.264889
0	0.26195
0	0.25977
0	0.257411
0	0.256498
0	0.257243
0	0.257391
0	0.258152
0	0.260882
0	0.265134
0	0.269854
0	0.274489
0	0.281026
0	0.289269
0	0.298184
0	0.308963
0	0.321612
0	0.335196
0	0.348458
0	0.359942
0	0.370091
0	0.379267
0	0.389644
0	0.400225
0	0.409788
0	0.419298
0	0.428011
0	0.436804
0	0.445388
0	0.452096
0	0.457772
0	0.462584
0	0.4652
0	0.46666
0	0.467025
0	0.464991
0	0.460643
0	0.455449
0	0.449547
0	0.442833
0	0.434734
0	0.424257
0	0.414326
0	0.407925
0	0.403208
0	0.397676
0	0.392605
0	0.389003
0	0.385247
0	0.381697
0	0.377565
0	0.373064
0	0.368381
0	0.361427
0	0.354078
0	0.347113
0	0.341037
0	0.334826
0	0.329114
0	0.325392
0	0.322272
0	0.319668
0	0.318433
0	0.319246
0	0.322182
0	0.325781
0	0.329442
0	0.332828
0	0.335917
0	0.340977
0	0.348611
0	0.357992
0	0.366899
0	0.374946
0	0.383123
0	0.391647
0	0.399723
0	0.405982
0	0.409319
0	0.410005
0	0.40957
0	0.408839
0	0.408022
0	0.406719
0	0.405216
0	0.404383
0	0.40277
0	0.400293
0	0.397954
0	0.395585
0	0.392551
0	0.390108
0	0.390776
0	0.393609
0	0.396788
0	0.40015
0	0.403217
0	0.405267
0	0.406382
0	0.405864
0	0.40597
0	0.408142
0	0.41076
0	0.413507
0	0.415003
0	0.415785
0	0.417039
0	0.417626
0	0.418722
0	0.421834
0	0.425312
0	0.427624
0	0.428499
0	0.429887
0	0.432316
0	0.434597
0	0.436312
0	0.437567
0	0.439088
0	0.441001
0	0.44215
0	0.442717
0	0.443802
0	0.445683
0	0.447373
0	0.445749
0	0.443209
0	0.440559
0	0.43713
0	0.433379
0	0.430387
0	0.428447
0	0.425789
0	0.423077
0	0.419865
0	0.415777
0	0.411451
0	0.407184
0	0.402928
0	0.399908
0	0.397385
0	0.393412
0	0.389415
0	0.385953
0	0.382636
0	0.37971
0	0.378152
0	0.377817
0	0.376622
0	0.37565
0	0.376203
0	0.37776
0	0.379582
0	0.38326
0	0.387994
0	0.391002
0	0.392286
0	0.391583
0	0.389019
0	0.385008
0	0.380656
0	0.3762
0	0.372981
0	0.372663
0	0.372622
0	0.37214
0	0.371531
0	0.369959
0	0.367921
0	0.364541
0	0.360065
0	0.355976
0	0.350288
0	0.343114
0	0.337407
0	0.332301
0	0.327445
0	0.323126
0	0.318928
0	0.314033
0	0.30935
0	0.304783
0	0.299346
0	0.295325
0	0.292945
0	0.2932
0	0.29647
0	0.300124
0	0.304721
0	0.312594
0	0.322296
0	0.333204
0	0.344993
0	0.35601
0	0.366743
0	0.378156
0	0.390034
0	0.400415
0	0.408792
0	0.416847
0	0.425558
0	0.434624
0	0.44199
0	0.446899
0	0.450949
0	0.455185
0	0.459859
0	0.464068
0	0.466617
0	0.467583
0	0.467063
0	0.465534
0	0.463282
0	0.458874
0	0.452745
0	0.445463
0	0.437384
0	0.427808
0	0.415643
0	0.403592
0	0.392996
0	0.381963
0	0.370416
0	0.358122
0	0.343325
0	0.327427
0	0.313013
0	0.299589
0	0.285061
0	0.269916
0	0.25542
0	0.241874
0	0.230398
0	0.221129
0	0.212643
0	0.204446
0	0.197195
0	0.190773
0	0.18572
0	0.182162
0	0.180364
0	0.180291
0	0.181426
0	0.184915
0	0.192108
0	0.202399
0	0.213603
0	0.22665
0	0.243011
0	0.262601
0	0.284497
0	0.307322
0	0.331079
0	0.356054
0	0.381172
0	0.406697
0	0.434046
0	0.462985
0	0.491651
0	0.51826
0	0.542821
0	0.565885
0	0.587746
0	0.608362
0	0.626952
0	0.642428
0	0.655493
0	0.666452
0	0.675081
0	0.680638
0	0.682352
0	0.6817
0	0.679799
0	0.67658
0	0.673454
0	0.670958
0	0.666801
0	0.662324
0	0.657885
0	0.652788
0	0.646708
0	0.637326
0	0.624432
0	0.6107
0	0.596595
0	0.58127
0	0.56646
0	0.55131
0	0.533923
0	0.514528
0	0.494883
0	0.475415
0	0.456607
0	0.436822
0	0.415965
0	0.396309
0	0.377364
0	0.360659
0	0.34553
0	0.329607
0	0.3135
0	0.296556
0	0.279578
0	0.264062
0	0.248294
0	0.230977
0	0.213675
0	0.197065
0	0.179713
0	0.163286
0	0.148391
0	0.133409
0	0.120361
0	0.1116
0	0.105304
0	0.100187
0	0.0970291
0	0.0954318
0	0.0956328
0	0.098104
0	0.103912
0	0.111744
0	0.121128
0	0.133709
0	0.147544
0	0.162715
0	0.181491
0	0.202237
0	0.222336
0	0.242471
0	0.265861
0	0.294127
0	0.324036
0	0.352895
0	0.382303
0	0.414106
0	0.447103
0	0.479546
0	0.509959
0	0.536342
0	0.559474
0	0.580625
0	0.599059
0	0.615236
0	0.63059
0	0.64409
0	0.653652
0	0.659238
0	0.66347
0	0.667183
0	0.668236
0	0.66787
0	0.666945
0	0.664071
0	0.658706
0	0.651995
0	0.645446
0	0.638417
0	0.629438
0	0.618974
0	0.608111
0	0.595966
0	0.581021
0	0.562285
0	0.542559
0	0.525043
0	0.507809
0	0.490664
0	0.473681
0	0.454873
0	0.435407
0	0.417362
0	0.401123
0	0.38628
0	0.372782
0	0.359635
0	0.345342
0	0.329307
0	0.314019
0	0.301895
0	0.292074
0	0.283516
0	0.276308
0	0.270039
0	0.263415
0	0.255713
0	0.247341
0	0.23989
0	0.234177
0	0.232109
0	0.232977
0	0.233837
0	0.23448
0	0.235387
0	0.235359
0	0.233611
0	0.231575
0	0.230567
0	0.229401
0	0.228391
0	0.228119
0	0.227233
0	0.226109
0	0.226986
0	0.230954
0	0.237232
0	0.244995
0	0.253281
0	0.263411
0	0.274681
0	0.285004
0	0.294186
0	0.302149
0	0.31105
0	0.322752
0	0.337649
0	0.355328
0	0.373574
0	0.39076
0	0.406295
0	0.419686
0	0.430384
0	0.438895
0	0.445742
0	0.449472
0	0.450482
0	0.450927
0	0.45162
0	0.452645
0	0.453341
0	0.453186
0	0.450618
0	0.446713
0	0.442843
0	0.437241
0	0.429497
0	0.420112
0	0.407216
0	0.391402
0	0.375483
0	0.360146
0	0.34625
0	0.334182
0	0.322764
0	0.313767
0	0.307541
0	0.299339
0	0.290664
0	0.284395
0	0.280413
0	0.278251
0	0.277045
0	0.275525
0	0.273368
0	0.272245
0	0.2709
0	0.2677
0	0.264246
0	0.261317
0	0.258296
0	0.255227
0	0.252965
0	0.252456
0	0.252815
0	0.254143
0	0.257843
0	0.263488
0	0.271616
0	0.282005
0	0.294208
0	0.307202
0	0.319969
0	0.332483
0	0.344003
0	0.354799
0	0.367189
0	0.381924
0	0.39535
0	0.406805
0	0.417071
0	0.427434
0	0.439023
0	0.451939
0	0.46506
0	0.475523
0	0.48401
0	0.493267
0	0.503394
0	0.512027
0	0.518165
0	0.521391
0	0.522078
0	0.520824
0	0.519225
0	0.518019
0	0.515499
0	0.511448
0	0.505205
0	0.498757
0	0.493027
0	0.486549
0	0.480369
0	0.472927
0	0.463208
0	0.454345
0	0.444579
0	0.432185
0	0.418542
0	0.404969
0	0.39168
0	0.378837
0	0.367524
0	0.35602
0	0.344119
0	0.333981
